Word,File1,File2,File3
big,1,0,0
hmm,1,0,0
whole,0,3,0
your,3,3,0
divine,1,0,0
kiss,0,1,0
when,0,7,0
somewhere,0,0,4
without,0,1,0
beautiful,0,2,0
tried,1,0,0
music,1,0,0
her,0,11,0
would,0,3,0
far,0,0,2
above,0,0,2
let,0,1,0
dance,1,0,0
if,0,3,0
you,2,18,4
in,0,0,1
is,2,0,0
them,0,1,0
come,0,0,1
it,3,0,0
then,0,1,0
someday,0,0,2
stop,1,0,0
even,0,1,0
trying,1,0,0
plans,1,0,0
asks,0,1,0
stops,0,3,0
be,3,0,0
perfectly,0,1,0
believe,0,1,0
hot,1,0,0
giving,1,0,0
our,3,0,0
stares,0,3,0
fell,1,0,0
into,1,0,0
see,1,4,0
world,0,3,0
top,0,0,1
are,0,0,2
get,1,0,0
where,0,0,5
so,2,4,0
dare,0,0,2
mind,1,0,0
think,0,2,0
a,0,6,3
bother,0,1,0
learn,1,0,0
gonna,1,0,0
could,0,1,0
cool,1,0,0
one,1,0,0
i,7,16,0
right,2,0,0
people,1,0,0
stay,0,1,0
the,4,14,12
ask,0,1,0
cannot,2,0,0
to,6,2,0
melts,0,0,2
thing,0,3,0
open,2,0,0
but,3,2,0
through,1,0,0
before,1,0,0
tell,0,2,0
tops,0,0,1
run,1,0,0
do,0,0,1
upon,0,0,2
listen,1,0,0
bet,1,0,0
wish,0,0,2
that,1,4,4
high,0,0,2
falls,0,1,0
wake,0,0,2
find,1,0,2
me,2,0,0
bluebirds,0,0,2
up,2,0,4
day,0,1,0
all,0,1,0
like,1,1,2
need,1,0,0
felt,1,0,0
this,1,0,0
my,2,0,0
done,3,0,0
look,1,3,0
heart,1,0,0
she,0,4,0
never,0,1,0
rainbow,0,0,1
dream,0,0,4
once,0,0,1
know,0,2,0
hesitate,2,0,0
reckon,1,0,0
some,1,0,0
no,5,0,0
behind,0,0,2
chimney,0,0,2
for,0,3,0
why,0,0,2
dreams,0,0,3
clouds,0,0,2
not,0,4,0
lemon,0,0,2
and,5,9,4
now,1,0,0
of,1,0,0
sad,0,1,0
compliment,0,1,0
trouble,0,0,2
oh,0,0,3
win,1,0,0
just,1,8,0
make,0,1,0
every,0,1,0
over,0,0,4
or,1,0,0
again,1,0,0
say,0,1,0
stars,0,1,0
way,0,9,2
really,0,0,1
what,0,2,0
time,1,1,0
